usage_detail_id,rs_survey_usage_data_uid,name,event_dtm,wrk_inst,std_no,main_title,article_title,pub_type,language,pub_format,tou,tou_desc,quantity,user_id,telesales_org_id,country_name,ip_address,location_name,survey_start_date,survey_end_date
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
,4a44f913-494d-4897-b6e8-236973dffd8b,ABCD Corp,5/19/2020,410527004,1463-9270,Green chemistry,,Monographic Series,English,,PRINT_COPIES,Print copies and share with co-workers,5,efa64be4-deb0-46c6-8227-892c4dc8e29d,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,date,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,23/12/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,,wrWrkInst,number,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,23/12/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,12282534712312312312231231231231,0927-7765,,,,,,,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-77651231231231231233333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,quality,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,-50,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,,fa0276c3-55d6-42cd-8ffe-e9124acae02f,LONG,United States,24.12.119.203,United States,06/15/2018,06/15/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,,United States,24.12.119.203,United States,06/15/2018,06/15/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,,
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,,
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
1f5eb620-4984-47e6-924c-c9943a073630,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, BiointerfaceszxcColloids and surfaces. B, Biointerfaceszxcasdzxcccccccccccccccccccccccczxcccccccccccccccccccccccccc",,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-aRticleTitle-,Journal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3112312312321233333,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal-JournalJournalJournalJournalJournal-JournalJournalJournalJournalJournal-JournalJournalJournalJournal,English,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
3efc13f6-92da-4afb-b2cb-d6f923ef4dc3,88a1b6f8-c595-49e2-97cf-793e88f5550f,ABCD Corp,5/19/2020,122825347,0927-7765,"Colloids and surfaces. B, Biointerfaces",,Journal,EnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglish,,EMAIL_COPY,Email a copy to my co-workers,1,fa0276c3-55d6-42cd-8ffe-e9124acae02f,1136,United States,24.12.119.203,United States,06/15/2018,06/15/2020
